model,tag,width,height,params,seed,epochs,octdl_acc,octdl_macro_f1,octdl_recall_CNV,octdl_recall_DME,octdl_recall_DRUSEN,octdl_recall_NORMAL,clinic_acc,clinic_macro_f1,clinic_recall_CNV,clinic_recall_DME,clinic_recall_DRUSEN,clinic_recall_NORMAL,min_per_epoch,timestamp
resnet50,crop_curv_squish_256x256,256,256,23516228,0,5,0.920844327176781,0.9014246104168826,0.9826254826254827,0.916083916083916,0.6666666666666666,0.9823943661971831,0.6486486486486487,0.694273098055078,1.0,1.0,0.4090909090909091,1.0,2.97,2026-08-21T09:33:09+00:00
convnext_tiny,crop_curv_squish_256x256,256,256,27823204,0,5,0.9287598944591029,0.9129190533339502,0.9826254826254827,0.9300699300699301,0.7239583333333334,0.9683098591549296,0.6486486486486487,0.6168279569892474,1.0,1.0,0.4090909090909091,1.0,5.24,2026-08-21T10:00:06+00:00
vit_b_16,crop_curv_squish_256x256,256,256,85801732,0,5,0.8979771328056289,0.8669077255097993,0.9864864864864865,0.8881118881118881,0.6041666666666666,0.9401408450704225,0.5945945945945946,0.6091954022988506,1.0,1.0,0.3181818181818182,1.0,9.17,2026-08-21T10:46:46+00:00
custom,crop_curv_squish_256x256,256,256,1175204,0,5,0.8179419525065963,0.7854725218607904,0.8918918918918919,0.972027972027972,0.5833333333333334,0.7640845070422535,0.35135135135135137,0.38812997347480105,1.0,1.0,0.18181818181818182,0.3333333333333333,1.74,2026-08-21T10:55:58+00:00
resnet50,crop_curv_squish_384x256,384,256,23516228,0,5,0.911169744942832,0.8906203258773766,0.9594594594594594,0.916083916083916,0.6614583333333334,0.9894366197183099,0.5945945945945946,0.5790229885057472,1.0,1.0,0.3181818181818182,1.0,4.68,2026-08-21T11:24:12+00:00
convnext_tiny,crop_curv_squish_384x256,384,256,27823204,0,5,0.93051890941073,0.9167709033615435,0.9652509652509652,0.9020979020979021,0.765625,0.9929577464788732,0.7027027027027027,0.7147435897435896,1.0,1.0,0.5,1.0,7.8,2026-08-21T16:21:16+00:00
vit_b_16,crop_curv_squish_384x256,384,256,85801732,0,5,0.8583992963940194,0.8018661892667929,0.9980694980694981,0.7342657342657343,0.390625,0.9823943661971831,0.40540540540540543,0.40719696969696967,1.0,0.6,0.09090909090909091,1.0,8.75,2026-08-21T17:05:49+00:00
custom,crop_curv_squish_384x256,384,256,1175204,0,5,0.8540017590149517,0.8149399267633171,0.971042471042471,0.9370629370629371,0.515625,0.8274647887323944,0.40540540540540543,0.4694989106753813,1.0,1.0,0.22727272727272727,0.4444444444444444,2.53,2026-08-21T17:19:00+00:00
